"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../features/user.feature: TC_05 - Check format of single user","42","test_check_format_single_user[2-200]","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_07 - Delete user","61","test_delete_user","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_09 - Creating user with minimal payload","64","test_create_user_min_payload","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_08 - Checking Content-Type response","42","test_check_content_type_response","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","50","test_check_format_single_user[45465-404]","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","39","test_check_nested_fields[name-company]","steps","Fri Mar 20 13:48:12 UTC 2026","passed","Fri Mar 20 13:48:12 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","67","test_update_user_data[Brady-sagvdfs-1]","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","38","test_check_format_single_user[1-200]","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_10 - Checking nested fields","42","test_check_nested_fields[city-address]","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:12 UTC 2026","","test_users","",""
"../features/user.feature: TC_02 - Get existing user","40","test_get_existing_user","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_03 - Get not existing user","43","test_get_not_existing_user","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","68","test_update_user_data[Auston-NoRingTill67-2]","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","44","test_check_format_single_user[13-404]","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","112","test_update_user_data[Nathan-MissingEmptyNet-3]","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_01 - Create user with complete data","184","TC_01 - Create user with complete data","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
"../features/user.feature: TC_04 - Get all users","39","test_get_all_users","steps","Fri Mar 20 13:48:11 UTC 2026","passed","Fri Mar 20 13:48:11 UTC 2026","","test_users","",""
